WS.partner,source,Year,Location,Rep,Plot,Row,Col,Block,GID,Sowing.Date,Origin,Height,Awnedness,Accession_number,WinterSurvival_Visual,VinterSurvival_TPVP_Index,Lodging_T,HD_Date,Anthesis.Date,DTH,DTA,DTM,Anther.extrusion.anther.retention,FHB1,FHB2,FHB3,FHB4,FHB5,FHB6,FHB1Date,FHB2Date,FHB3Date,FHB4Date,FHB5Date,FHB6Date,DFHB1,DFHB2,DFHB3,DFHB4,DFHB5,DFHB6,DON,AUDPC,FHB0,DFHB0,DFHBmax,AUDPC_std
BOKU,Boku_FHB,2020,Tulln,1,1094,15,6,NA,TS028,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-31,2020-06-05,223,228,NA,9,20,70,90,90,100,100,2020-06-15,2020-06-19,2020-06-23,2020-06-27,2020-07-01,2020-07-05,10,14,18,22,26,30,NA,1600,0,0,30,53.3
BOKU,Boku_FHB,2020,Tulln,1,1095,14,6,NA,TS010,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,1.71,0,1,10,30,60,80,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,544,0,0,30,18.1
BOKU,Boku_FHB,2020,Tulln,1,1096,13,6,NA,TS225,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,2.14,1,1,5,20,70,90,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,563,0,0,30,18.8
BOKU,Boku_FHB,2020,Tulln,1,1097,12,6,NA,TS095,2019-10-21,NA,95,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,4.71,NA,15,40,60,70,70,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,875,0,0,30,29.2
BOKU,Boku_FHB,2020,Tulln,1,1098,11,6,NA,TS016,2019-10-21,NA,95,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,3.86,0,0.5,10,40,60,60,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,542,0,0,30,18.1
BOKU,Boku_FHB,2020,Tulln,1,1099,10,6,NA,TS181,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,6.43,NA,3,40,60,60,70,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,727,0,0,30,24.2
BOKU,Boku_FHB,2020,Tulln,1,1100,9,6,NA,TS049,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-15,2020-05-20,207,212,NA,0.43,0.1,0.1,0.1,0.5,5,25,2020-05-30,2020-06-03,2020-06-07,2020-06-11,2020-06-15,2020-06-19,10,14,18,22,26,30,NA,73.5,0,0,30,2.5
BOKU,Boku_FHB,2020,Tulln,1,1101,8,6,NA,TS215,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-25,2020-05-30,217,222,NA,7.29,0.1,5,25,50,70,80,2020-06-09,2020-06-13,2020-06-17,2020-06-21,2020-06-25,2020-06-29,10,14,18,22,26,30,NA,710.9,0,0,30,23.7
BOKU,Boku_FHB,2020,Tulln,1,1102,7,6,NA,TS081,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,3.86,0.1,0.5,10,30,80,90,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,642.9,0,0,30,21.4
BOKU,Boku_FHB,2020,Tulln,1,1103,6,6,NA,TS224,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,0.43,NA,30,40,60,60,60,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,950,0,0,30,31.7
