Trait,Scheme,EID,n,rmseFm1,rmseFm2,rmseFm3
SA,28/0,Taula_2019,155,1.063562329498041,0.9580821687716549,0.8968397408995552
SA,28/3,Balsora_2016,155,1.3841973851634184,1.2245355171729682,1.2162932118641514
SA,28/3,Balsora_2017,155,1.477248768204437,1.330865792167056,1.398463573180059
SA,28/3,Porvenir_2020,155,0.8333080146846814,0.9048540331284224,0.7813783173110612
SA,28/3,Porvenir_2021,155,1.1020500917275446,1.1145211044028327,1.0474530550510022
SA,28/3,Taula_2018,155,1.2128373858846742,1.2459573049063757,1.2117983534882912
SA,28/3,Taula_2019,155,0.9422381303103996,0.8683295948726683,0.8293966698126027
SA,31/0,Balsora_2016,155,1.3466431485889827,1.2890787321888932,1.258971802740111
SA,31/0,Balsora_2017,155,1.427461714752328,1.3521921774556578,1.3935702872229152
SA,31/0,Porvenir_2020,155,0.8756277191244697,0.9732932950943054,0.7648756648263458
SA,31/0,Porvenir_2021,155,1.184324919855282,1.2340147912865127,1.147322434943201
SA,31/0,Taula_2018,155,1.235418507007142,1.2725540304319438,1.2137073558753804
SA,31/0,Taula_2019,155,1.0079417557743096,0.9688160227459652,0.8811530623747242
SA,4/12,Balsora_2016,155,1.8582862482726032,1.8559907052087068,1.8556750743622175
SA,4/12,Balsora_2017,155,1.862136092140743,1.8666494457077247,1.853743948171329
SA,4/12,Porvenir_2020,155,0.8971468280598,0.8977778844836835,0.9103541390528174
SA,4/12,Porvenir_2021,155,1.1979600022164376,1.2030081891624242,1.2046211443067516
SA,4/12,Taula_2018,155,1.5985036404669188,1.583071289019757,1.601927307971938
SA,4/12,Taula_2019,155,1.2664546370325924,1.2643184340123315,1.2745787700661841
SA,4/16,Balsora_2016,155,1.8568795222551435,1.85674201909255,1.848892543422673
SA,4/16,Balsora_2017,155,1.8926812804614273,1.895592556025032,1.8770426328461616
SA,4/16,Porvenir_2020,155,0.9002640643212712,0.897639548802764,0.8916675049386853
SA,4/16,Porvenir_2021,155,1.2118912685532641,1.217324994187588,1.2122034703088014
SA,4/16,Taula_2018,155,1.5037725582934884,1.4886180458555407,1.490548197871022
SA,4/16,Taula_2019,155,1.2636109319979854,1.2612464707214943,1.2602056991243664
SA,4/20,Balsora_2016,155,1.8668842189091164,1.8667895322367563,1.8686911516738658
SA,4/20,Balsora_2017,155,1.8551254109698088,1.8641206514171413,1.8415495316000234
SA,4/20,Porvenir_2020,155,0.8870835802150244,0.8913087552934711,0.8930496377909759
SA,4/20,Porvenir_2021,155,1.1928598880591776,1.2046465868757747,1.1974658086385561
SA,4/20,Taula_2018,155,1.5221902882795664,1.5082110177974941,1.5088880932316417
SA,4/20,Taula_2019,155,1.2662616590458993,1.2669065001277915,1.2639202101105471
SA,4/24,Balsora_2016,155,1.8615414738137757,1.8534746460512541,1.8429249242134356
SA,4/24,Balsora_2017,155,1.8578933816808867,1.8545949979246033,1.8526084368617697
SA,4/24,Porvenir_2020,155,0.8745661755196198,0.8694933830862994,0.8855649227359055
SA,4/24,Porvenir_2021,155,1.2124529700797695,1.2134885812186686,1.2156393587785872
SA,4/24,Taula_2018,155,1.459918059052837,1.4500421904587901,1.438058171517608
SA,4/24,Taula_2019,155,1.265583199484963,1.2628185958434768,1.2668877042017577
SA,4/27,Balsora_2016,155,1.8556608548243523,1.8520804219342897,1.8290470374895214
SA,4/27,Balsora_2017,155,1.8549939844861107,1.8502910381123572,1.862256073290118
SA,4/27,Porvenir_2020,155,0.8725735493655462,0.8699688798122063,0.8855830785972997
SA,4/27,Porvenir_2021,155,1.1909949648510287,1.1909044178456316,1.1985724689439015
SA,4/27,Taula_2018,155,1.4399536586613217,1.43971519874195,1.425328839470327
SA,4/27,Taula_2019,155,1.2617099113351453,1.260456774397399,1.2482357803821211
SA,4/8,Balsora_2016,155,1.8571971983368067,1.8411867019548314,1.8213453195199458
SA,4/8,Balsora_2017,155,1.8599786615645821,1.8467647511427057,1.8239290526290093
SA,4/8,Porvenir_2020,155,0.9458598354911767,0.934268599033784,0.9474283324315685
SA,4/8,Porvenir_2021,155,1.2298155176432193,1.228945065976766,1.2486818058708038
SA,4/8,Taula_2018,155,1.6826585323892307,1.6867610416220202,1.6768078535550015
SA,4/8,Taula_2019,155,1.2689956511403164,1.2555534971261975,1.260843844261953
SA,8/12,Balsora_2016,155,1.848653068751644,1.8371809337068656,1.825084029387943
SA,8/12,Balsora_2017,155,1.8493093037391544,1.837163755297317,1.8295726584995644
SA,8/12,Porvenir_2020,155,0.9082869325332298,0.8996963687959805,0.9097174812708027
SA,8/12,Porvenir_2021,155,1.1871575453883658,1.1874863933758384,1.1997890733742442
SA,8/12,Taula_2018,155,1.3945688165420458,1.387054372905697,1.3804280161681262
SA,8/12,Taula_2019,155,1.2528821559938352,1.2482405386538509,1.2555255431715702
SA,8/16,Balsora_2016,155,1.8539293700740027,1.8421438535293857,1.8414754814122387
SA,8/16,Balsora_2017,155,1.8315969257061264,1.813034469187917,1.7993933320501292
SA,8/16,Porvenir_2020,155,0.9110557181072034,0.9052302620493964,0.9120219903063189
SA,8/16,Porvenir_2021,155,1.1891413783457283,1.1843962106256982,1.1997976995288586
SA,8/16,Taula_2018,155,1.403406434495887,1.390683706290916,1.3869615242966578
SA,8/16,Taula_2019,155,1.2536711561181066,1.2443120025201773,1.2469540086210782
SA,8/20,Balsora_2016,155,1.8512756899436342,1.8406978185703395,1.8188488685074011
SA,8/20,Balsora_2017,155,1.8632411208259858,1.8509988262302823,1.8336817543247985
SA,8/20,Porvenir_2020,155,0.8798460002629545,0.87172079708518,0.8747851238484311
SA,8/20,Porvenir_2021,155,1.213536927640271,1.2052476231192286,1.206985834434005
SA,8/20,Taula_2018,155,1.404084298635876,1.3920894230009784,1.378669419059595
SA,8/20,Taula_2019,155,1.2410336780700677,1.2321845444093942,1.229718073037486
SA,8/23,Balsora_2016,155,1.848056879653292,1.8329015270993334,1.8046136882305843
SA,8/23,Balsora_2017,155,1.826803106347914,1.8099403225621673,1.8072580431257952
