Year,Env,Location,Trial,Rep,Row,Col,GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1,cov.Height,cov.Anthesis,cov.AEAR
2020,BOKU,Tulln,2020.Tulln,1,16,10,TS167,8765.527342930498,11.8987078224196,264.89027777666666,40,75,2020-05-30,8.57
2020,BOKU,Tulln,2020.Tulln,1,15,10,TS184,7334.629635032483,14.590176601767135,271.4106249920002,20,80,2020-05-28,5.57
2020,BOKU,Tulln,2020.Tulln,1,14,10,TS164,13600.770832199993,11.52913457920097,237.80677083499995,70,90,2020-06-03,8.57
2020,BOKU,Tulln,2020.Tulln,1,13,10,TS200,10455.109113672996,13.539653506589165,247.50312499999995,50,80,2020-05-30,7.71
2020,BOKU,Tulln,2020.Tulln,1,12,10,TS036,2468.6928126054945,7.108389679624975,352.04236110333323,5,90,2020-05-24,5.57
2020,BOKU,Tulln,2020.Tulln,1,11,10,TS012,4990.754948089501,11.973856731064137,277.9031249999998,15,95,2020-05-26,3.43
2020,BOKU,Tulln,2020.Tulln,1,10,10,TS019,7910.702082782997,9.867158796707749,340.05416664999984,25,95,2020-06-05,3
2020,BOKU,Tulln,2020.Tulln,1,9,10,TS127,7067.294947589484,13.027591587198877,276.7739583257145,25,80,2020-05-28,5.14
2020,BOKU,Tulln,2020.Tulln,1,8,10,TS198,18992.062498699986,14.8868389607498,200.32416666200007,90,80,2020-06-05,9
2020,BOKU,Tulln,2020.Tulln,1,7,10,TS117,12089.901040791483,13.242851112374323,261.47187499999995,50,95,2020-06-01,7.29
2020,BOKU,Tulln,2020.Tulln,1,6,10,TS125,9395.791405372995,12.370465195792626,264.89027777666666,40,95,2020-05-30,3.43
2020,BOKU,Tulln,2020.Tulln,1,5,10,TS136,11149.445832489995,13.539653506589165,236.89114583000003,60,90,2020-05-30,9
2020,BOKU,Tulln,2020.Tulln,1,4,10,TS152,13141.408853184992,11.243009980197522,249.97141202999993,70,90,2020-06-05,4.71
2020,BOKU,Tulln,2020.Tulln,1,3,10,TS042,3700.084895979492,8.8600537165276,320.75624999,10,85,2020-05-24,3.86
2020,BOKU,Tulln,2020.Tulln,1,2,10,TS227,17566.12239472499,12.924444463731632,196.29043560454542,80,90,2020-06-03,6.43
