GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1
TS157,-1159.8957799328416,-0.41754579025249305,-82.91243658161227,-5.191161395643352
TS158,3235.3368168756983,1.5228916359925333,-230.18747841314155,14.367761993524635
TS159,1156.2763284790167,0.43720357552879063,-151.75933990809472,3.9767481431258744
TS160,2465.7420089633783,1.093484555674281,-223.85026590518203,8.616443578521476
TS161,2347.22639351153,0.5596780196977882,-1.285790008174672,8.698075320065989
TS162,-137.04760897374445,0.0068055992914335395,-26.09355818025074,3.4565549594469474
TS163,1582.6834736094074,0.9703293017369425,-197.70748267743795,9.94960947638197
TS164,2037.558057214756,0.801580720712892,-226.49421923407363,10.042310463976285
TS165,-410.45536368860985,-0.33786915365707837,104.54701536300217,-2.1018120158523423
TS166,122.86924426832047,0.0697293165584183,55.937624051719354,-4.40005078492964
TS167,-4.587463185530396,-0.17911790459638777,-60.24396732263028,-0.7631452191513084
TS168,-2423.4544799238097,0.11352521514536629,-57.088706392294625,-10.721125606039774
TS169,1203.5610891616657,0.7705639721075075,-219.96124069828022,10.308845144225288
TS170,2138.554816259432,0.8829000915415604,-189.65634334369906,8.081378072086892
TS171,956.4768668725678,0.28052623404401644,-50.218891059533576,2.545884352961039
TS172,-1952.9740695171313,-0.8734660287492022,205.02812306598594,-12.676086777983189
TS173,4871.385947128263,1.6605238272030998,-285.9024000056746,18.832413191918757
TS174,1738.4666852126588,0.16264784906322594,-177.09744307327412,4.26313206456361
TS175,-1084.7173207859182,-0.07359034193073866,-75.45051768974872,-4.240506108345336
TS176,1293.382267458243,0.5883737814524443,-237.22147397580932,7.746351136006858
TS177,622.3473150092241,-0.03707067452849255,-144.08716196061232,-1.368629991272666
TS178,-3117.7456689586247,-1.276561778877456,430.2652985705595,-18.375204639030898
TS179,706.3612162086047,0.5797369354683961,-154.9146883963556,6.472105357380013
TS180,534.1125432096301,-9.166556826767369e-4,-64.78164603574794,2.9905325801450893
TS181,1532.4466648067678,0.3961530192032119,-123.34311313140438,7.071664287903875
TS182,-933.4795865962528,-0.8058681340547414,327.2366690892643,-5.75550009240969
TS183,-881.3607008397335,-0.260546621347975,-41.60683663872612,-3.1879497063026037
TS184,756.1041401331495,0.6307505270490812,-222.92870297387208,3.717283877184908
TS185,265.0251584594521,-0.007960023059034649,-41.26840187339644,1.0332385870772427
TS186,-3585.0120824498954,-2.2137758407074113,135.86834196219957,-18.978391932660735
TS187,-778.7001380205338,-0.32718188223283406,194.07861999328225,-0.3078521037537847
TS188,-686.8154560762514,-0.391911587506393,-112.67401293201499,-4.1901567828064294
TS189,2122.4440834490483,0.9170712814262165,-193.32725144831966,9.606129780123748
TS190,-151.42373298351185,-0.26547500220074216,-75.41005227057144,-4.173934439795968
TS191,193.81496266290424,-0.00430349541553765,-40.21351759085928,-2.1793555233455812
TS192,-24.119136762015387,-0.02991172817572263,39.71115697430855,-4.628522469904944
TS193,-847.9015885890781,-0.6365819912629929,-103.12665711498994,-2.060600074350866
TS194,2112.5595702483984,0.7923121558848756,-164.22126549320137,9.489385322420887
TS195,2715.06759402747,0.8652627160268804,-61.38955440472762,10.50481405904522
TS196,-1681.8203231494317,-0.69318078304365,34.9897558522498,-8.990848766431842
TS197,-912.8695253953738,0.1767398042616637,-70.71542865902097,-7.06775835077921
TS198,1236.674886058026,0.5203828011137861,-152.16299085257594,3.5272391162504313
TS199,-437.0578074683849,-0.32727136489849373,-107.03605170715821,-4.972039566083964
TS200,974.5176949388338,0.415079365484758,-123.33689010572823,4.23710431126603
TS201,1493.1704700458254,0.3841895299827791,-80.9040502600983,7.236502244106806
TS202,1476.2616573401615,0.309541546658042,-81.07087475527783,5.129009934023657
TS203,852.4227453003177,-0.20628348574195776,-66.19844909648191,1.4528259764682616
TS204,-508.14325564120963,-0.3507182639143953,-137.61653808006974,-5.838773860926626
TS205,2674.1243115657485,1.1050471534650592,-291.7968520311907,14.553666275131707
TS206,1827.3520295001576,0.9643615144771744,-211.588234654664,12.157797167608589
TS207,2388.6442937116367,0.5429159130596948,-205.8707075692921,6.2017875867020855
TS208,954.3520891456633,-0.03550173063404749,-57.48110345348755,3.0254461250811637
TS209,-641.1868235975717,0.21752932628768118,-132.4283619460016,-1.5728864046160602
TS210,243.29528334743236,-0.018572525928519212,148.86886352115403,-3.126229949059784
TS211,-328.4340300938766,-0.21052920303874822,-113.73058791907567,-0.5347166543190269
TS212,-1706.2367881871276,-0.9344670516837185,112.81292327750953,-7.995034483566149
TS213,826.5915084622743,0.39478796962788243,-133.2805089034157,4.0814488958797455
TS214,2091.325646855122,1.2218192061731372,-285.4348244620219,12.703712908845805
TS215,1603.0002067593846,0.33637364968801875,-114.2410679160439,5.587093024528198
TS216,-720.5047139707112,-0.290165631399794,-101.60223006346723,-3.597314147626463
TS217,2654.9109860746935,0.7857099396838705,-194.6977426046907,8.582730264019332
TS218,3975.8482181644754,1.9325026335144688,-291.1489069716695,17.964107693896533
TS219,996.9644005947298,0.10869332922312869,8.123323447039525,4.490818147949131
TS220,1867.1046252818119,0.611396077683338,-171.37706406578536,8.98075351473629
TS221,2462.6588543925413,0.7601051971022228,-276.80202601676604,8.780988429750096
TS222,2729.9154997543615,1.0231420783269978,-208.12789020323305,9.061663938615208
TS223,-419.4411013266258,-0.13768523080263573,-92.15092574278276,-1.0172598818509755
TS224,779.7375736875424,-0.28832767598726705,-99.62435084086383,5.2025731882918755
TS225,-419.9641094338467,0.43530293200822356,-76.5426482150981,-1.6338245267359532
TS226,1266.7184542226573,0.07545787688011063,-159.16811724492197,5.694791266121193
TS227,2471.2009183111372,0.3682937791811822,-151.35340763630438,8.663508850115573
TS228,-2094.27765294473,-1.5181973686170689,500.5724098435819,-12.400903940377935
TS229,3684.7572234118156,1.1530299756788325,-278.76612935603293,14.331624320394656
TS230,-1599.9559890766952,-1.2238433561024742,-167.75511180969875,-11.874203296128304
