season,family,gid,plant,replicated,H_cluster,soluble_solids,S_dry
2018,jardin,G_Monukka,1,R2,463,16,0.0012900000000000023
2018,jardin,G_Monukka,1,R1,571,13.4,0.00136
2018,jardin,G_Monukka,1,R3,496,18,0.0031799999999999997
2018,jardin,G_Monukka,2,R1,295,15,0.001999999999999996
2018,jardin,G_Monukka,2,R2,535,17,0.010799999999999999
2018,jardin,G_Monukka,2,R3,294,20.4,0.008250000000000002
2018,jardin,G_Moscatel.Oeiras.Faux,2,R2,314,16.2,0.0637
2018,jardin,G_Moscatel.Oeiras.Faux,1,R1,178,19,0.06670000000000001
2018,jardin,G_Moscatel.Oeiras.Faux,1,R2,190,17.2,0.0516
2018,jardin,G_Moscatel.Oeiras.Faux,1,R3,287,16.2,0.06962000000000002
2018,jardin,G_Moscatel.Oeiras.Faux,2,R1,211,16,0.05661000000000001
2018,jardin,G_Moscatel.Oeiras.Faux,2,R3,167,16.2,0.05247999999999999
2018,jardin,G_Moscatel.Oeiras.Faux,3,R1,334,21,0.06211
2018,jardin,G_Moscatel.Oeiras.Faux,3,R2,200,21.2,0.07010000000000001
2018,jardin,G_Moscatel.Oeiras.Faux,3,R3,213,21,0.06831000000000001
2018,jardin,G_Moscatel.Rosada,1,R1,341,23,0
2018,jardin,G_Moscatel.Rosada,1,R2,326,23.6,0
2018,jardin,G_Moscatel.Rosada,1,R3,382,22,0
2018,jardin,G_Moscatel.Rosada,2,R1,335,24.6,0
2018,jardin,G_Moscatel.Rosada,2,R2,164,24.2,0
2018,jardin,G_Moscatel.Rosada,2,R3,231,23.6,0
2018,jardin,G_Moscatel.Rosada,3,R1,190,23.8,0
2018,jardin,G_Moscatel.Rosada,3,R2,299,23.6,0
2018,jardin,G_Moscatel.Rosada,3,R3,219,24,0
2018,jardin,G_Olivette,1,R1,436,20.2,0.02973
2018,jardin,G_Olivette,1,R2,383,21.1,0.039360000000000006
2018,jardin,G_Olivette,1,R3,204,21,0.03888
2018,jardin,G_Olivette,2,R1,479,19,0.04061
2018,jardin,G_Olivette,2,R2,300,17,0.046799999999999994
2018,jardin,G_Olivette,2,R3,409,18.2,0.04911
2018,jardin,G_Orbois,1,R1,304,16,0.035059999999999994
2018,jardin,G_Orbois,1,R2,301,17,0.03361000000000001
2018,jardin,G_Orbois,1,R3,218,16,0.04569
2018,jardin,G_Orbois,2,R1,226,16,0.06021000000000001
2018,jardin,G_Orbois,2,R2,177,18.6,0.04575
2018,jardin,G_Orbois,2,R3,316,18,0.06472
2018,jardin,G_Orlovi.Nokti,1,R1,301,21,0.027410000000000007
2018,jardin,G_Orlovi.Nokti,1,R2,416,15,0.03541999999999999
2018,jardin,G_Orlovi.Nokti,1,R3,212,20,0.03327000000000001
2018,jardin,G_Orlovi.Nokti,2,R1,346,19,0.02282
2018,jardin,G_Orlovi.Nokti,2,R2,223,19,0.03447
2018,jardin,G_Orlovi.Nokti,2,R3,338,19,0.037349999999999994
2018,jardin,G_Patagonia,1,R1,282,16,0.04662999999999999
2018,jardin,G_Patagonia,1,R3,577,17,0.05693
2018,jardin,G_Patagonia,1,R2,374,17,0.034510000000000006
2018,jardin,G_Patagonia,2,R1,495,21,0.07028
2018,jardin,G_Patagonia,2,R2,580,18.2,0.07538
2018,jardin,G_Patagonia,2,R3,626,19.6,0.06856
2018,jardin,G_Pervenetz,2,R1,159,16.2,0.05149
2018,jardin,G_Pervenetz,2,R2,92,15.4,0.05158
2018,jardin,G_Pervenetz,2,R3,268,17,0.03907000000000001
2018,jardin,G_Pervenetz,1,R1,328,17,0.06641000000000001
2018,jardin,G_Pervenetz,1,R2,253,16.4,0.049940000000000005
2018,jardin,G_Pervenetz,1,R3,228,17.2,0.051669999999999994
2018,jardin,G_Pervenetz,3,R1,305,16.4,0.053700000000000005
2018,jardin,G_Pervenetz,3,R2,281,17.2,0.06117999999999999
2018,jardin,G_Pervenetz,3,R3,168,16.2,0.035390000000000005
2018,jardin,G_Plant.de.Maroc,1,R1,484,17,0.06442
2018,jardin,G_Plant.de.Maroc,1,R2,624,17,0.07465000000000001
2018,jardin,G_Plant.de.Maroc,2,R1,764,18,0.06674
2018,jardin,G_Plant.de.Maroc,2,R2,443,17,0.06260999999999999
2018,jardin,G_Pletchistik,2,R3,135,20.6,0.04972
2018,jardin,G_Pletchistik,1,R1,116,19.2,0.053700000000000005
2018,jardin,G_Pletchistik,1,R2,108,17.4,0.036289999999999996
2018,jardin,G_Pletchistik,1,R3,150,19.2,0.051660000000000005
2018,jardin,G_Pletchistik,2,R1,117,18.6,0.05491999999999999
2018,jardin,G_Pletchistik,2,R2,55,19.2,0.05009999999999999
2018,jardin,G_Portugais.Bleu,1,R1,198,17.4,0.05652
2018,jardin,G_Portugais.Bleu,1,R2,188,16.8,0.05685
2018,jardin,G_Portugais.Bleu,1,R3,166,17,0.039850000000000003
2018,jardin,G_Queen,1,R1,598,15,0.10411999999999999
2018,jardin,G_Queen,1,R2,940,16,0.09616
2018,jardin,G_Queen,1,R3,778,17.6,0.09885
2018,jardin,G_Queen,2,R1,598,16.2,0.09574
2018,jardin,G_Queen,2,R2,931,18.4,0.09020999999999998
2018,jardin,G_Queen,2,R3,765,17.8,0.08197999999999998
2018,jardin,G_Red.Globe,3,R1,569,17,0.11132
2018,jardin,G_Red.Globe,1,R1,751,19,0.07272999999999999
2018,jardin,G_Red.Globe,1,R2,363,18,0.05948
2018,jardin,G_Red.Globe,1,R3,453,18,0.05994999999999999
2018,jardin,G_Red.Globe,2,R1,784,18,0.06387
2018,jardin,G_Red.Globe,2,R2,507,19,0.07404
2018,jardin,G_Red.Globe,2,R3,488,18,0.08975000000000001
2018,jardin,G_Red.Globe,3,R2,400,18,0.08936000000000002
2018,jardin,G_Red.Globe,3,R3,642,15,0.11019999999999999
2018,jardin,G_Red,2,R2,400,15.8,0.005399999999999999
2018,jardin,G_Red,1,R1,658,15,0.002689999999999998
2018,jardin,G_Red,1,R2,537,13.5,0.005819999999999997
2018,jardin,G_Red,1,R3,647,13,0.007929999999999998
2018,jardin,G_Red,2,R1,582,14,0.0028600000000000014
2018,jardin,G_Red,2,R3,596,13.8,0.013339999999999996
2018,jardin,G_Red,3,R1,596,15,0.006659999999999999
2018,jardin,G_Red,3,R2,337,16,0.005760000000000004
2018,jardin,G_Red,3,R3,438,15,0.010349999999999998
2018,jardin,G_Retagliado.Bianco,3,R2,532,14,0.03515
