season,family,gid,plant,replicated,P_rachis_loss,soluble_solids,S_dry
2019,900,G_5.9.124,1,R2,0,21,0.09628
2019,900,G_5.9.124,1,R3,10.999999999999996,17,0.06725
2019,912,G_5.9.151,1,R1,56.42857142857143,19,0.0014
2019,111,G_5.5.93,1,R1,0,19,0.08675
2019,111,G_5.5.93,1,R2,25.71428571428571,19,0.07762
2019,900,G_5.9.115,1,R1,0,21,0.12174
2019,900,G_5.9.115,1,R2,33.07692307692308,18,0.10834
2019,900,G_5.9.115,1,R3,37.5,22,0.10227
2019,929,G_5.10.98,1,R1,81.76470588235294,19,0.06909
2019,929,G_5.10.98,1,R2,14.000000000000004,18,0.06772
2019,929,G_5.10.98,1,R3,55.714285714285715,19,0.05267
2019,900,G_5.9.134,1,R1,55.714285714285715,16,0.00739
2019,900,G_5.9.134,1,R2,58.888888888888886,15,0.00453
2019,900,G_5.9.134,1,R3,65,14,0.00653
2019,900,G_5.9.140,1,R1,67.5,25,0.06269
2019,900,G_5.9.140,1,R2,46.25,23,0.08549
2019,900,G_5.9.128,1,R1,58.75,16,0.00658
2019,900,G_5.9.128,1,R2,0,20,0.00252
2019,900,G_5.9.128,1,R3,0,15,0.00611
2019,411,G_5.6.103,1,R1,11.739130434782606,14,0.04543
2019,411,G_5.6.103,1,R2,0,16,0.00971
2019,411,G_5.6.103,1,R3,59.375,14,0.01711
2019,900,G_5.9.131,1,R1,3.333333333333336,19,0.00269
2019,111,G_5.7.46,1,R1,7.499999999999996,21,0.00717
2019,111,G_5.7.46,1,R2,47.77777777777778,22,0.00295
2019,111,G_5.7.46,1,R3,0,22,0.00547
2019,406,G_5.5.149,1,R1,9.999999999999998,21,0.0058
2019,406,G_5.5.149,1,R2,0,21,0.00217
2019,912,G_5.9.163,1,R1,14.516129032258064,16,0.06629
2019,111,G_5.7.45,1,R1,40.00000000000001,18,0.01122
2019,111,G_5.7.45,1,R2,5.71428571428572,19,0.00694
2019,111,G_5.7.45,1,R3,4.0000000000000036,17,0.01249
2019,406,G_5.4.69,1,R1,57.49999999999999,14,0.00197
2019,406,G_5.4.69,1,R2,0,15,0.00461
2019,406,G_5.4.69,1,R3,0,12,0.00182
2019,406,G_5.4.94,1,R1,40.833333333333336,20,0.03007
2019,406,G_5.4.94,1,R2,53.07692307692308,21,0.01492
2019,406,G_5.4.94,1,R3,80,20,0.01004
2019,900,G_5.2.8,1,R1,84,17,2.9e-4
2019,900,G_5.2.8,1,R2,35,17,0.00149
2019,900,G_5.2.8,1,R3,NA,NA,NA
2019,411,G_5.1.173,1,R1,64.28571428571429,19,0.06536
2019,411,G_5.1.173,1,R1,28.571428571428573,20,0.06536
2019,411,G_5.1.167,1,R1,0,20,0.06385
2019,411,G_5.1.167,1,R1,0,14,0.06385
2019,411,G_5.1.167,1,R2,48.333333333333336,20,0.06319
2019,411,G_5.1.167,1,R2,71.81818181818181,15,0.06319
2019,411,G_5.1.167,1,R3,61.42857142857143,19,0.0466
2019,411,G_5.1.167,1,R3,80.71428571428571,13,0.0466
2019,406,G_5.1.156,1,R1,72,17,0.00114
2019,406,G_5.1.156,1,R2,58.75,19,8e-5
2019,406,G_5.1.156,1,R3,72.5,16,5.1e-4
