season,family,gid,plant,replicated,B_shape,soluble_solids,S_dry
2020,jardin,G_Agourane,2,R2,1.0933333333333333,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.150943396226415,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.1483870967741936,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.0952380952380953,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.136986301369863,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.1073825503355703,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.0808823529411764,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.0419161676646707,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.023076923076923,16,0.04107000000000001
2020,jardin,G_Agourane,2,R2,1.1180555555555556,16,0.04107000000000001
2020,jardin,G_Agourane,2,R3,1.1556886227544911,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.1656050955414012,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.1566265060240963,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.1456953642384107,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.0526315789473684,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.087837837837838,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.064102564102564,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.090909090909091,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.074074074074074,15,0.07616999999999999
2020,jardin,G_Agourane,2,R3,1.1375,15,0.07616999999999999
2020,jardin,G_Agourane,3,R1,1.0272108843537415,22,0.06601
2020,jardin,G_Agourane,3,R1,1.1420118343195267,22,0.06601
2020,jardin,G_Agourane,3,R1,1.145985401459854,22,0.06601
2020,jardin,G_Agourane,3,R1,1.1555555555555554,22,0.06601
2020,jardin,G_Agourane,3,R1,1.1772151898734178,22,0.06601
2020,jardin,G_Agourane,3,R1,1.1234567901234567,22,0.06601
2020,jardin,G_Agourane,3,R1,1.1633986928104576,22,0.06601
2020,jardin,G_Agourane,3,R1,1.049079754601227,22,0.06601
2020,jardin,G_Agourane,3,R1,1.103658536585366,22,0.06601
2020,jardin,G_Agourane,3,R1,1.0516129032258064,22,0.06601
2020,jardin,G_AK.ouziom,1,R1,1.0686274509803921,20,0.05452
