season,family,gid,plant,replicated,B_width,soluble_solids,S_dry
2020,jardin,G_Arna.Guirna,1,R1,1.74,18,0.061919999999999996
2020,jardin,G_Arna.Guirna,1,R2,1.52,15,0.062150000000000004
2020,jardin,G_Arna.Guirna,1,R2,1.47,15,0.062150000000000004
2020,jardin,G_Arna.Guirna,1,R2,1.6,15,0.062150000000000004
2020,jardin,G_Arna.Guirna,1,R2,1.55,15,0.062150000000000004
2020,jardin,G_Arna.Guirna,1,R2,1.57,15,0.062150000000000004
2020,jardin,G_Arna.Guirna,1,R2,1.46,15,0.062150000000000004
2020,jardin,G_Arna.Guirna,1,R2,1.64,15,0.062150000000000004
2020,jardin,G_Arna.Guirna,1,R2,1.91,15,0.062150000000000004
2020,jardin,G_Arna.Guirna,1,R2,1.76,15,0.062150000000000004
2020,jardin,G_Arna.Guirna,1,R3,1.39,12,0.03878
2020,jardin,G_Arna.Guirna,1,R3,1.44,12,0.03878
2020,jardin,G_Arna.Guirna,1,R3,1.31,12,0.03878
2020,jardin,G_Arna.Guirna,1,R3,1.41,12,0.03878
2020,jardin,G_Arna.Guirna,1,R3,1.47,12,0.03878
2020,jardin,G_Arna.Guirna,1,R3,1.4,12,0.03878
2020,jardin,G_Arna.Guirna,1,R3,1.42,12,0.03878
2020,jardin,G_Arna.Guirna,1,R3,1.38,12,0.03878
2020,jardin,G_Arna.Guirna,1,R3,1.49,12,0.03878
2020,jardin,G_Arna.Guirna,2,R1,1.68,17,0.05281
2020,jardin,G_Arna.Guirna,2,R1,1.54,17,0.05281
2020,jardin,G_Arna.Guirna,2,R1,1.46,17,0.05281
2020,jardin,G_Arna.Guirna,2,R1,1.52,17,0.05281
2020,jardin,G_Arna.Guirna,2,R1,1.71,17,0.05281
2020,jardin,G_Arna.Guirna,2,R1,1.59,17,0.05281
2020,jardin,G_Arna.Guirna,2,R1,1.47,17,0.05281
2020,jardin,G_Arna.Guirna,2,R1,1.63,17,0.05281
2020,jardin,G_Arna.Guirna,2,R1,1.69,17,0.05281
2020,jardin,G_Arna.Guirna,2,R2,1.67,14,0.07439000000000001
2020,jardin,G_Arna.Guirna,2,R2,1.56,14,0.07439000000000001
2020,jardin,G_Arna.Guirna,2,R2,1.59,14,0.07439000000000001
2020,jardin,G_Arna.Guirna,2,R2,1.58,14,0.07439000000000001
2020,jardin,G_Arna.Guirna,2,R2,1.48,14,0.07439000000000001
2020,jardin,G_Arna.Guirna,2,R2,1.52,14,0.07439000000000001
2020,jardin,G_Arna.Guirna,2,R2,1.6,14,0.07439000000000001
2020,jardin,G_Arna.Guirna,2,R2,1.46,14,0.07439000000000001
2020,jardin,G_Arna.Guirna,2,R2,1.62,14,0.07439000000000001
2020,jardin,G_Arna.Guirna,2,R3,1.61,16,0.06920000000000001
2020,jardin,G_Arna.Guirna,2,R3,1.66,16,0.06920000000000001
2020,jardin,G_Arna.Guirna,2,R3,1.65,16,0.06920000000000001
2020,jardin,G_Arna.Guirna,2,R3,1.7,16,0.06920000000000001
2020,jardin,G_Arna.Guirna,2,R3,1.91,16,0.06920000000000001
2020,jardin,G_Arna.Guirna,2,R3,1.81,16,0.06920000000000001
2020,jardin,G_Arna.Guirna,2,R3,1.53,16,0.06920000000000001
2020,jardin,G_Arna.Guirna,2,R3,1.6,16,0.06920000000000001
2020,jardin,G_Arna.Guirna,2,R3,1.52,16,0.06920000000000001
2020,jardin,G_Arna.Guirna,3,R1,1.63,16,0.06839
2020,jardin,G_Arna.Guirna,3,R1,1.46,16,0.06839
2020,jardin,G_Arna.Guirna,3,R1,1.53,16,0.06839
2020,jardin,G_Arna.Guirna,3,R1,1.35,16,0.06839
2020,jardin,G_Arna.Guirna,3,R1,1.61,16,0.06839
2020,jardin,G_Arna.Guirna,3,R1,1.59,16,0.06839
2020,jardin,G_Arna.Guirna,3,R1,1.33,16,0.06839
2020,jardin,G_Arna.Guirna,3,R1,1.71,16,0.06839
2020,jardin,G_Arna.Guirna,3,R1,1.66,16,0.06839
2020,jardin,G_Arna.Guirna,3,R2,1.35,14,0.08087000000000001
2020,jardin,G_Arna.Guirna,3,R2,1.45,14,0.08087000000000001
2020,jardin,G_Arna.Guirna,3,R2,1.44,14,0.08087000000000001
2020,jardin,G_Arna.Guirna,3,R2,1.71,14,0.08087000000000001
2020,jardin,G_Arna.Guirna,3,R2,1.39,14,0.08087000000000001
2020,jardin,G_Arna.Guirna,3,R2,1.59,14,0.08087000000000001
2020,jardin,G_Arna.Guirna,3,R2,1.38,14,0.08087000000000001
2020,jardin,G_Arna.Guirna,3,R2,1.61,14,0.08087000000000001
2020,jardin,G_Arna.Guirna,3,R3,1.45,14,0.0615
2020,jardin,G_Arna.Guirna,3,R3,1.42,14,0.0615
2020,jardin,G_Arna.Guirna,3,R3,1.37,14,0.0615
2020,jardin,G_Arna.Guirna,3,R3,1.4,14,0.0615
2020,jardin,G_Arna.Guirna,3,R3,1.39,14,0.0615
2020,jardin,G_Arna.Guirna,3,R3,1.59,14,0.0615
2020,jardin,G_Arna.Guirna,3,R3,1.35,14,0.0615
2020,jardin,G_Arna.Guirna,3,R3,1.46,14,0.0615
2020,jardin,G_Arna.Guirna,3,R3,1.43,14,0.0615
2020,jardin,G_Assyl.Kara,1,R1,1.19,16,0.06146
2020,jardin,G_Assyl.Kara,1,R1,1.12,16,0.06146
2020,jardin,G_Assyl.Kara,1,R1,1.14,16,0.06146
2020,jardin,G_Assyl.Kara,1,R1,1.13,16,0.06146
